PKEY,TOKEN,0_,1_,2_,3_,4_,5_,6_,7_,8_
7528,default,0.12,0.07,0.29,0.69,0.08,0.21,0.23,0.06,0.23
7533,definit,0.21,0.14,0.13,0.09,0.06,0.05,0.28,0.03,0.10
7541,defin,0.61,0.55,0.42,0.79,0.36,0.19,0.79,0.62,0.50
7543,debit,0.24,0.80,0.81,0.86,0.33,0.83,0.09,0.62,0.54
7563,date,0.44,0.49,0.39,0.83,0.33,0.52,0.58,0.21,0.47
7586,data,0.92,0.95,0.97,1.00,1.00,0.88,0.88,1.00,0.82
7623,day,0.34,0.23,0.18,0.09,0.17,0.33,0.28,0.24,0.28
7641,appropri,0.47,0.47,0.44,0.72,0.36,0.55,0.56,0.24,0.54
7645,appreci,0.32,0.40,0.40,0.74,0.19,0.48,0.53,0.24,0.36
7650,approach,0.33,0.23,0.22,0.74,0.19,0.12,0.42,0.12,0.22
7651,approv,0.18,0.54,0.47,0.12,0.28,0.45,0.21,0.59,0.35
7657,approxim,0.16,0.05,0.06,0.14,0.19,0.02,0.23,0.09,0.15
7666,appar,0.34,0.36,0.47,0.76,0.06,0.29,0.40,0.18,0.33
7667,apparatu,0.34,0.37,0.34,0.76,0.08,0.31,0.21,0.12,0.28
7673,appear,0.25,0.30,0.16,0.09,0.11,0.10,0.28,0.06,0.17
7674,append,0.17,0.23,0.12,0.21,0.22,0.21,0.07,0.03,0.12
7677,appl,0.05,0.07,0.12,0.02,0.08,0.02,0.07,0.15,0.06
7680,appli,0.45,0.43,0.43,0.81,0.39,0.31,0.58,0.65,0.48
7682,applic,0.87,0.92,0.96,0.97,0.94,0.83,0.74,1.00,0.86
7708,around,0.20,0.17,0.08,0.05,0.17,0.14,0.14,0.12,0.09
7727,architectur,0.24,0.24,0.10,0.09,0.11,0.29,0.12,0.12,0.20
7731,area,0.62,0.49,0.35,0.83,0.31,0.26,0.23,0.76,0.36
7760,annual,0.12,0.06,0.04,0.66,0.06,0.02,0.35,0.06,0.13
7771,analog,0.12,0.07,0.05,0.05,0.11,0.05,0.02,0.03,0.08
7774,analysi,0.21,0.17,0.14,0.90,0.08,0.02,0.65,0.79,0.21
7778,analyz,0.21,0.14,0.12,0.78,0.22,0.10,0.44,0.71,0.21
7792,anyth,0.06,0.04,0.04,0.02,0.08,0.02,0.02,0.06,0.03
7815,anoth,0.92,0.89,0.92,0.97,0.94,0.93,0.86,0.94,0.88
7826,anticip,0.06,0.05,0.01,0.07,0.06,0.02,0.07,0.09,0.11
7831,arrang,0.27,0.33,0.29,0.57,0.14,0.21,0.30,0.38,0.22
7832,array,0.13,0.11,0.06,0.02,0.03,0.05,0.12,0.12,0.08
7833,author,0.44,0.90,0.77,0.22,0.67,0.50,0.19,0.68,0.61
7852,autom,0.31,0.43,0.45,0.19,0.22,0.52,0.35,0.74,0.40
7862,attract,0.15,0.02,0.06,0.66,0.06,0.10,0.12,0.03,0.12
7863,attribut,0.21,0.12,0.04,0.74,0.17,0.12,0.33,0.09,0.16
7872,audio,0.23,0.11,0.14,0.05,0.08,0.14,0.05,0.15,0.10
7878,automat,0.51,0.42,0.45,0.69,0.36,0.60,0.47,0.88,0.45
7879,automobil,0.12,0.06,0.03,0.10,0.03,0.02,0.07,0.71,0.03
7881,away,0.15,0.08,0.12,0.02,0.03,0.07,0.23,0.06,0.09
7885,avoid,0.23,0.14,0.09,0.02,0.17,0.07,0.40,0.09,0.19
7905,avail,0.74,0.71,0.86,0.93,0.42,0.67,0.86,0.76,0.80
7923,averag,0.14,0.05,0.04,0.76,0.11,0.02,0.30,0.09,0.17
7938,ask,0.14,0.10,0.19,0.02,0.08,0.31,0.23,0.06,0.11
7943,aspect,0.64,0.47,0.39,0.64,0.36,0.52,0.60,0.41,0.54
7949,assembl,0.12,0.17,0.12,0.03,0.14,0.05,0.05,0.47,0.06
7962,articl,0.11,0.12,0.08,0.29,0.03,0.17,0.12,0.06,0.08
7976,assess,0.12,0.08,0.08,0.83,0.14,0.07,0.23,0.21,0.14
7986,atm,0.06,0.36,0.22,0.12,0.14,0.50,0.02,0.06,0.26
7994,attach,0.23,0.20,0.25,0.03,0.17,0.24,0.07,0.12,0.14
7997,attempt,0.26,0.57,0.25,0.10,0.14,0.26,0.33,0.18,0.21
8002,asset,0.13,0.05,0.08,0.05,0.42,0.14,0.79,0.03,0.28
8003,assign,0.30,0.40,0.21,0.76,0.36,0.52,0.47,0.65,0.31
8006,assist,0.43,0.36,0.57,0.21,0.39,0.57,0.53,0.65,0.39
8009,associ,0.88,0.92,1.00,0.50,1.00,0.90,0.86,0.94,0.92
8011,assum,0.18,0.20,0.12,0.64,0.14,0.31,0.30,0.15,0.26
8026,act,0.25,0.33,0.32,0.17,0.33,0.29,0.28,0.24,0.35
8028,action,0.36,0.33,0.26,0.19,0.36,0.21,0.37,0.62,0.27
8030,activ,0.58,0.66,0.38,0.93,0.61,0.52,0.47,0.91,0.47
8035,across,0.33,0.29,0.13,0.79,0.19,0.33,0.28,0.21,0.25
8038,actual,0.44,0.54,0.31,0.78,0.36,0.40,0.56,0.21,0.40
8043,adapt,0.29,0.31,0.36,0.66,0.22,0.14,0.14,0.12,0.22
8047,add,0.31,0.39,0.39,0.09,0.14,0.36,0.28,0.09,0.21
8055,achiev,0.26,0.23,0.13,0.72,0.19,0.14,0.42,0.21,0.24
8064,acquir,0.17,0.30,0.42,0.21,0.14,0.26,0.30,0.09,0.30
8070,addit,0.91,0.93,0.84,0.93,0.86,0.98,0.98,0.97,0.90
8073,administr,0.16,0.11,0.06,0.07,0.19,0.10,0.23,0.09,0.25
8088,advanc,0.24,0.33,0.09,0.76,0.25,0.26,0.33,0.06,0.18
8090,advantag,0.58,0.57,0.58,0.79,0.47,0.69,0.67,0.79,0.57
8093,administ,0.05,0.04,0.05,0.02,0.03,0.02,0.14,0.06,0.14
8098,address,0.65,0.64,0.57,0.93,0.72,0.83,0.44,0.68,0.51
8115,adjust,0.17,0.11,0.12,0.12,0.19,0.07,0.42,0.21,0.25
8117,accuraci,0.15,0.14,0.01,0.72,0.06,0.07,0.07,0.06,0.07
8118,accur,0.23,0.13,0.05,0.71,0.11,0.05,0.23,0.18,0.12
8161,abil,0.40,0.40,0.45,0.79,0.08,0.40,0.51,0.21,0.39
8163,abl,0.47,0.57,0.55,0.07,0.42,0.74,0.53,0.29,0.52
8191,account,0.69,0.96,0.96,0.98,0.92,1.00,0.91,0.85,0.87
8198,accept,0.46,0.70,0.58,0.16,0.47,0.50,0.37,0.15,0.50
8200,access,0.88,0.94,0.95,0.97,0.97,0.95,0.74,1.00,0.81
8206,accommod,0.13,0.16,0.10,0.05,0.03,0.17,0.05,0.06,0.12
8207,accompani,0.30,0.36,0.35,0.19,0.33,0.36,0.40,0.15,0.29
8209,accomplish,0.29,0.27,0.26,0.64,0.08,0.31,0.28,0.24,0.22
8210,accord,0.73,0.84,0.83,0.91,0.69,0.88,0.86,0.88,0.85
8211,accordingli,0.38,0.47,0.44,0.76,0.25,0.40,0.44,0.24,0.40
8216,allow,0.88,0.82,0.70,0.91,0.81,0.95,0.84,0.94,0.83
8225,along,0.35,0.47,0.31,0.16,0.25,0.31,0.35,0.24,0.37
8234,alreadi,0.27,0.25,0.35,0.03,0.11,0.60,0.23,0.06,0.18
8235,also,0.97,0.99,0.95,1.00,0.97,1.00,1.00,0.97,0.96
8240,alert,0.16,0.16,0.16,0.14,0.19,0.12,0.09,0.09,0.12
8243,algorithm,0.22,0.48,0.18,0.79,0.36,0.07,0.26,0.68,0.17
8279,among,0.41,0.27,0.30,0.64,0.25,0.43,0.51,0.06,0.41
8280,amongst,0.03,0.02,0.01,0.02,0.08,0.07,0.12,0.03,0.03
8283,amount,0.65,0.65,0.84,0.90,0.83,0.95,0.86,0.82,0.87
8288,altern,0.68,0.77,0.77,0.93,0.58,0.60,0.77,0.85,0.67
8289,although,0.48,0.53,0.55,0.78,0.19,0.43,0.47,0.68,0.42
8326,age,0.14,0.08,0.10,0.02,0.06,0.07,0.58,0.15,0.14
8327,agenc,0.12,0.11,0.05,0.12,0.08,0.17,0.12,0.06,0.12
8330,agent,0.18,0.16,0.04,0.05,0.11,0.05,0.09,0.59,0.14
8353,affect,0.14,0.07,0.12,0.10,0.08,0.05,0.28,0.21,0.17
8354,affili,0.07,0.05,0.12,0.02,0.03,0.17,0.14,0.12,0.09
8356,aggreg,0.19,0.08,0.08,0.76,0.25,0.21,0.23,0.06,0.24
8395,agreement,0.13,0.12,0.12,0.03,0.06,0.12,0.19,0.15,0.20
8442,broker,0.04,0.05,0.04,0.09,0.08,0.02,0.14,0.09,0.12
8450,browser,0.26,0.25,0.27,0.07,0.42,0.45,0.16,0.03,0.18
8452,build,0.28,0.16,0.06,0.19,0.11,0.29,0.28,0.06,0.12
8463,busi,0.49,0.54,0.48,0.93,0.47,0.62,0.44,0.76,0.62
8479,built,0.16,0.05,0.03,0.05,0.08,0.07,0.09,0.15,0.07
8517,box,0.19,0.20,0.12,0.03,0.03,0.14,0.14,0.06,0.13
8564,brief,0.18,0.24,0.32,0.48,0.25,0.17,0.12,0.09,0.23
8585,branch,0.04,0.10,0.03,0.03,0.03,0.12,0.05,0.03,0.06
8611,cash,0.31,0.31,0.47,0.69,0.22,0.83,0.60,0.12,0.57
8685,categor,0.07,0.04,0.01,0.62,0.03,0.02,0.16,0.09,0.04
8686,categori,0.21,0.18,0.17,0.74,0.08,0.07,0.26,0.09,0.18
8701,call,0.47,0.43,0.34,0.16,0.39,0.40,0.35,0.12,0.36
8714,calcul,0.28,0.19,0.21,0.81,0.39,0.02,0.77,0.29,0.38
8717,cabl,0.24,0.16,0.26,0.05,0.08,0.19,0.14,0.50,0.10
8729,cach,0.09,0.02,0.13,0.02,0.19,0.02,0.02,0.03,0.04
8742,captur,0.26,0.30,0.26,0.69,0.14,0.12,0.23,0.29,0.16
8749,card,0.68,0.95,0.97,0.93,0.39,0.95,0.33,0.74,0.66
8755,cardhold,0.04,0.42,0.19,0.10,0.14,0.05,0.05,0.06,0.16
8770,cancel,0.15,0.17,0.21,0.17,0.19,0.38,0.09,0.15,0.21
8779,capabl,0.58,0.59,0.65,0.83,0.50,0.52,0.40,0.79,0.54
8780,capac,0.12,0.05,0.03,0.66,0.06,0.05,0.05,0.06,0.06
8787,back,0.43,0.59,0.58,0.12,0.42,0.52,0.26,0.09,0.35
8793,becom,0.57,0.47,0.49,0.17,0.53,0.48,0.51,0.65,0.43
8808,begin,0.28,0.23,0.27,0.07,0.14,0.07,0.33,0.62,0.26
8837,benefit,0.35,0.30,0.38,0.09,0.19,0.55,0.70,0.26,0.45
8862,behavior,0.21,0.10,0.03,0.83,0.22,0.05,0.28,0.32,0.08
8865,behind,0.09,0.08,0.03,0.03,0.03,0.02,0.12,0.06,0.03
8881,batch,0.07,0.18,0.05,0.10,0.03,0.14,0.05,0.47,0.12
8896,balanc,0.25,0.34,0.52,0.78,0.42,0.48,0.65,0.15,0.50
8916,background,0.97,0.99,0.97,1.00,0.97,1.00,0.91,0.94,0.97
8932,base,0.93,0.92,0.86,1.00,0.92,0.93,0.95,0.97,0.90
8950,basi,0.30,0.17,0.09,0.74,0.25,0.17,0.53,0.26,0.36
8951,basic,0.19,0.25,0.19,0.05,0.19,0.31,0.37,0.59,0.17
8958,bank,0.42,0.82,0.83,0.95,0.50,0.95,0.42,0.29,0.67
8971,bar,0.17,0.19,0.16,0.02,0.11,0.12,0.14,0.26,0.13
8977,best,0.20,0.24,0.18,0.14,0.06,0.17,0.42,0.12,0.29
8995,block,0.43,0.53,0.44,0.19,0.89,0.50,0.30,0.59,0.42
9029,bodi,0.10,0.10,0.05,0.05,0.08,0.02,0.02,0.21,0.04
9046,bond,0.02,0.04,0.01,0.03,0.03,0.02,0.37,0.12,0.17
9106,better,0.28,0.11,0.18,0.74,0.22,0.05,0.47,0.12,0.17
9124,biometr,0.14,0.43,0.25,0.02,0.17,0.07,0.02,0.53,0.13
9169,done,0.26,0.22,0.13,0.57,0.19,0.24,0.23,0.12,0.17
9180,includ,0.99,0.99,0.99,1.00,0.97,1.00,1.00,1.00,0.98
9181,incent,0.21,0.11,0.08,0.64,0.08,0.17,0.05,0.53,0.12
9183,incom,0.15,0.05,0.06,0.67,0.11,0.31,0.84,0.03,0.28
9219,index,0.06,0.12,0.01,0.05,0.08,0.02,0.14,0.03,0.09
9225,indic,0.72,0.75,0.86,0.64,0.64,0.86,0.67,0.47,0.69
9229,independ,0.35,0.29,0.18,0.72,0.25,0.48,0.33,0.62,0.22
9241,incorpor,0.43,0.45,0.47,0.21,0.31,0.52,0.53,0.65,0.37
9242,incur,0.05,0.05,0.08,0.09,0.11,0.14,0.05,0.03,0.14
9247,increasingli,0.13,0.12,0.25,0.02,0.08,0.19,0.14,0.53,0.13
9248,increment,0.09,0.08,0.01,0.03,0.06,0.07,0.09,0.06,0.06
9267,illustr,0.73,0.75,0.77,0.86,0.53,0.62,0.72,0.76,0.75
9269,imag,0.32,0.22,0.21,0.03,0.11,0.21,0.07,0.12,0.12
9284,immedi,0.25,0.19,0.30,0.07,0.17,0.48,0.14,0.47,0.26
9298,iii,0.09,0.14,0.10,0.10,0.14,0.07,0.07,0.06,0.10
9318,import,0.28,0.31,0.14,0.07,0.11,0.05,0.58,0.21,0.16
9333,improv,0.41,0.48,0.22,0.81,0.39,0.24,0.33,0.32,0.28
9356,implement,0.70,0.82,0.77,0.33,0.64,0.62,0.81,0.85,0.70
9376,instal,0.30,0.31,0.53,0.03,0.14,0.10,0.09,0.29,0.17
9377,instanc,0.48,0.53,0.47,0.17,0.25,0.29,0.30,0.85,0.40
9378,instant,0.18,0.14,0.09,0.02,0.19,0.24,0.05,0.06,0.04
9379,instantan,0.06,0.06,0.03,0.03,0.06,0.21,0.02,0.06,0.01
9382,instead,0.36,0.53,0.40,0.12,0.44,0.31,0.35,0.12,0.33
9394,innov,0.08,0.04,0.03,0.02,0.14,0.10,0.02,0.06,0.06
9398,input,0.62,0.72,0.71,0.78,0.44,0.50,0.77,0.76,0.54
9408,institut,0.25,0.60,0.57,0.84,0.56,0.83,0.49,0.21,0.67
9409,individu,0.65,0.69,0.53,0.90,0.50,0.83,0.84,0.47,0.65
9410,interchang,0.15,0.16,0.25,0.03,0.17,0.14,0.07,0.03,0.17
9423,interconnect,0.15,0.14,0.10,0.67,0.14,0.05,0.07,0.03,0.10
9430,interest,0.38,0.18,0.35,0.76,0.25,0.17,0.74,0.12,0.47
9431,interact,0.49,0.53,0.64,0.21,0.42,0.76,0.56,0.79,0.46
9435,instruct,0.68,0.60,0.74,0.93,0.64,0.86,0.53,0.50,0.64
9437,instrument,0.16,0.17,0.25,0.66,0.28,0.33,0.30,0.15,0.37
9438,insuffici,0.04,0.08,0.12,0.03,0.19,0.19,0.21,0.03,0.07
9441,insur,0.15,0.14,0.05,0.16,0.11,0.33,0.47,0.38,0.28
9448,integr,0.56,0.71,0.56,0.26,0.39,0.43,0.37,0.74,0.35
9454,intend,0.45,0.55,0.39,0.10,0.47,0.60,0.53,0.56,0.42
9464,infer,0.03,0.01,0.01,0.17,0.06,0.02,0.05,0.09,0.01
9487,industri,0.37,0.41,0.19,0.79,0.06,0.19,0.35,0.24,0.27
9516,initi,0.66,0.73,0.82,0.52,0.58,0.86,0.30,0.82,0.67
9533,inform,0.96,1.00,0.99,0.98,0.86,1.00,0.95,1.00,0.91
9547,infrar,0.09,0.06,0.30,0.02,0.03,0.05,0.07,0.18,0.04
9548,infrastructur,0.17,0.27,0.22,0.67,0.19,0.21,0.12,0.12,0.12
9574,hereinaft,0.16,0.16,0.19,0.09,0.33,0.24,0.23,0.18,0.21
9575,herein,0.70,0.82,0.79,0.91,0.75,0.83,0.74,0.94,0.74
9583,held,0.16,0.17,0.10,0.14,0.42,0.48,0.35,0.29,0.29
9587,help,0.30,0.29,0.18,0.10,0.17,0.14,0.58,0.18,0.20
9588,herebi,0.09,0.07,0.05,0.07,0.03,0.02,0.14,0.06,0.09
9591,henc,0.09,0.14,0.08,0.07,0.06,0.12,0.02,0.06,0.11
9601,histor,0.21,0.04,0.06,0.74,0.03,0.05,0.44,0.24,0.19
9611,histori,0.29,0.22,0.34,0.83,0.19,0.36,0.21,0.09,0.23
9625,highli,0.18,0.16,0.05,0.62,0.19,0.07,0.09,0.15,0.11
9632,high,0.39,0.35,0.22,0.79,0.25,0.36,0.56,0.21,0.32
9633,higher,0.21,0.20,0.16,0.34,0.08,0.19,0.58,0.09,0.29
9634,highest,0.10,0.01,0.01,0.62,0.03,0.07,0.37,0.06,0.07
9651,hard,0.24,0.24,0.16,0.09,0.19,0.21,0.33,0.18,0.21
9659,hardwar,0.44,0.58,0.62,0.74,0.33,0.33,0.33,0.74,0.37
9677,handl,0.28,0.30,0.26,0.12,0.28,0.52,0.19,0.06,0.27
9692,happen,0.09,0.04,0.03,0.05,0.03,0.05,0.09,0.03,0.04
9764,hypertext,0.09,0.08,0.03,0.02,0.08,0.07,0.02,0.03,0.05
9769,http,0.17,0.12,0.18,0.05,0.11,0.14,0.14,0.12,0.08
9778,human,0.21,0.19,0.08,0.07,0.06,0.05,0.19,0.12,0.10
9787,hundr,0.06,0.11,0.03,0.03,0.03,0.05,0.07,0.06,0.06
9792,ident,0.40,0.71,0.57,0.57,0.50,0.57,0.16,0.50,0.33
9804,identif,0.56,0.81,0.77,0.88,0.31,0.69,0.26,1.00,0.52
9805,identifi,0.79,0.86,0.96,0.97,0.81,0.88,0.53,0.97,0.79
9861,home,0.31,0.18,0.05,0.10,0.06,0.33,0.40,0.15,0.17
9872,hold,0.22,0.23,0.26,0.10,0.39,0.40,0.56,0.06,0.31
9873,holder,0.13,0.45,0.32,0.17,0.25,0.38,0.16,0.18,0.29
9895,howev,0.77,0.82,0.69,0.86,0.64,0.90,0.84,0.82,0.72
9922,host,0.29,0.39,0.38,0.07,0.36,0.45,0.21,0.32,0.22
9931,hour,0.17,0.11,0.08,0.02,0.06,0.07,0.05,0.15,0.07
9947,legal,0.13,0.25,0.09,0.12,0.33,0.12,0.23,0.12,0.21
9957,least,0.86,0.88,0.82,0.93,0.86,0.88,0.86,0.94,0.90
9960,lcd,0.06,0.05,0.05,0.02,0.06,0.05,0.02,0.15,0.03
9967,lead,0.20,0.16,0.10,0.09,0.06,0.05,0.21,0.15,0.17
9991,liabil,0.04,0.11,0.03,0.07,0.06,0.02,0.35,0.09,0.11
10018,level,0.47,0.47,0.26,0.88,0.42,0.36,0.79,0.35,0.41
10019,less,0.36,0.24,0.29,0.66,0.31,0.52,0.65,0.12,0.43
10025,let,0.06,0.02,0.03,0.02,0.14,0.02,0.02,0.03,0.03
10027,letter,0.11,0.07,0.08,0.03,0.17,0.07,0.07,0.09,0.12
10042,lack,0.24,0.16,0.16,0.09,0.17,0.14,0.21,0.06,0.15
10048,lan,0.22,0.29,0.08,0.07,0.28,0.14,0.12,0.47,0.18
10054,layer,0.11,0.30,0.09,0.03,0.06,0.07,0.05,0.06,0.08
10072,label,0.13,0.11,0.10,0.62,0.14,0.12,0.16,0.06,0.04
10079,launch,0.06,0.01,0.06,0.02,0.08,0.07,0.07,0.09,0.02
10082,later,0.30,0.37,0.43,0.36,0.39,0.48,0.37,0.65,0.31
10100,late,0.03,0.05,0.04,0.02,0.06,0.05,0.19,0.50,0.04
10103,last,0.18,0.27,0.05,0.71,0.22,0.07,0.30,0.29,0.21
10110,languag,0.28,0.28,0.09,0.67,0.17,0.17,0.19,0.56,0.17
10115,laptop,0.27,0.23,0.36,0.09,0.42,0.31,0.19,0.18,0.17
10116,larg,0.46,0.40,0.22,0.79,0.31,0.40,0.63,0.18,0.33
10117,larger,0.15,0.14,0.19,0.07,0.03,0.24,0.33,0.03,0.13
10128,long,0.31,0.24,0.09,0.64,0.31,0.10,0.33,0.12,0.24
10129,longer,0.13,0.10,0.12,0.02,0.06,0.19,0.28,0.06,0.12
10136,look,0.20,0.14,0.05,0.09,0.06,0.14,0.21,0.06,0.12
10144,loss,0.15,0.27,0.09,0.12,0.28,0.21,0.40,0.21,0.25
10149,lost,0.16,0.25,0.14,0.03,0.08,0.07,0.05,0.03,0.09
10150,log,0.27,0.30,0.10,0.09,0.22,0.40,0.09,0.26,0.15
10164,logic,0.33,0.33,0.26,0.79,0.28,0.21,0.40,0.76,0.24
10165,login,0.09,0.07,0.10,0.02,0.11,0.12,0.05,0.06,0.07
10203,low,0.28,0.14,0.16,0.14,0.14,0.17,0.40,0.12,0.19
10204,lower,0.26,0.13,0.10,0.62,0.11,0.21,0.33,0.15,0.29
10210,loyalti,0.13,0.24,0.27,0.05,0.06,0.02,0.12,0.62,0.20
10222,line,0.43,0.45,0.35,0.83,0.19,0.55,0.35,0.41,0.39
10224,limit,0.86,0.84,0.81,0.95,0.75,0.88,0.95,1.00,0.87
10239,link,0.56,0.55,0.57,0.16,0.44,0.76,0.40,0.91,0.45
10245,locat,0.81,0.83,0.88,0.29,0.44,0.67,0.37,0.74,0.60
10247,life,0.13,0.08,0.08,0.05,0.03,0.02,0.51,0.12,0.15
10259,light,0.19,0.18,0.18,0.02,0.11,0.12,0.07,0.26,0.10
10264,like,0.71,0.76,0.77,0.91,0.64,0.88,0.67,0.94,0.69
10270,loan,0.08,0.05,0.10,0.69,0.11,0.48,0.33,0.03,0.24
10278,load,0.24,0.28,0.26,0.10,0.14,0.12,0.14,0.56,0.23
10286,local,0.57,0.45,0.45,0.84,0.50,0.33,0.26,0.56,0.37
10294,littl,0.20,0.13,0.05,0.02,0.03,0.07,0.28,0.09,0.10
10303,list,0.44,0.31,0.49,0.28,0.25,0.45,0.53,0.12,0.38
10368,item,0.49,0.37,0.56,0.50,0.25,0.52,0.26,0.15,0.38
10405,issu,0.47,0.66,0.60,0.86,0.53,0.60,0.37,0.82,0.67
10407,issuanc,0.06,0.11,0.05,0.03,0.17,0.05,0.02,0.03,0.11
10408,issuer,0.13,0.60,0.61,0.79,0.14,0.43,0.14,0.59,0.38
10418,interpret,0.16,0.13,0.13,0.02,0.03,0.05,0.21,0.24,0.13
10429,interv,0.13,0.10,0.08,0.05,0.06,0.05,0.14,0.09,0.11
10438,interfac,0.70,0.70,0.83,0.69,0.78,0.74,0.63,0.88,0.59
10451,intermediari,0.08,0.18,0.13,0.02,0.11,0.29,0.09,0.24,0.13
10455,intern,0.34,0.40,0.36,0.72,0.42,0.33,0.42,0.82,0.30
10456,internet,0.69,0.82,0.81,0.83,0.69,0.79,0.49,0.91,0.63
10462,inventori,0.13,0.05,0.04,0.02,0.08,0.14,0.12,0.53,0.07
10465,invest,0.15,0.08,0.06,0.67,0.25,0.12,0.84,0.09,0.37
10478,involv,0.56,0.70,0.71,0.52,0.58,0.76,0.53,0.68,0.57
10484,invent,0.80,0.92,0.82,0.84,0.86,0.90,0.84,0.79,0.85
10486,intranet,0.12,0.22,0.10,0.05,0.11,0.14,0.16,0.44,0.14
10492,introduc,0.18,0.27,0.10,0.64,0.19,0.17,0.02,0.03,0.16
10493,introduct,0.10,0.11,0.05,0.07,0.03,0.02,0.09,0.56,0.07
10528,kind,0.14,0.12,0.05,0.05,0.11,0.05,0.12,0.06,0.04
10536,keep,0.24,0.17,0.14,0.07,0.36,0.12,0.23,0.06,0.19
10542,key,0.43,0.75,0.56,0.28,0.94,0.26,0.42,0.76,0.33
10544,keyboard,0.21,0.27,0.31,0.10,0.19,0.24,0.14,0.59,0.21
10551,keypad,0.14,0.20,0.30,0.05,0.11,0.12,0.05,0.47,0.11
10557,known,0.63,0.67,0.48,0.81,0.56,0.71,0.56,0.35,0.52
10599,know,0.29,0.31,0.21,0.03,0.14,0.33,0.12,0.09,0.13
10697,handheld,0.11,0.20,0.14,0.02,0.03,0.17,0.02,0.47,0.08
10718,error,0.20,0.16,0.10,0.64,0.22,0.24,0.07,0.06,0.08
10723,equal,0.18,0.13,0.13,0.05,0.19,0.21,0.35,0.09,0.28
10738,equip,0.34,0.34,0.38,0.66,0.11,0.17,0.09,0.15,0.18
10749,estim,0.17,0.08,0.06,0.72,0.03,0.07,0.51,0.12,0.12
10752,etc,0.62,0.60,0.65,0.29,0.31,0.50,0.63,0.91,0.54
10758,establish,0.51,0.59,0.49,0.83,0.44,0.79,0.51,0.76,0.53
10784,especi,0.22,0.14,0.06,0.05,0.08,0.31,0.09,0.53,0.13
10795,enhanc,0.32,0.31,0.21,0.14,0.19,0.24,0.19,0.21,0.16
10798,engag,0.17,0.18,0.23,0.07,0.14,0.26,0.16,0.59,0.18
10800,engin,0.28,0.16,0.08,0.24,0.11,0.31,0.19,0.29,0.23
10811,enough,0.18,0.13,0.05,0.66,0.11,0.05,0.26,0.03,0.07
10814,enrol,0.09,0.14,0.12,0.02,0.11,0.24,0.21,0.06,0.15
10822,encrypt,0.26,0.67,0.45,0.69,0.36,0.12,0.09,0.62,0.18
10827,end,0.44,0.27,0.21,0.36,0.19,0.38,0.44,0.24,0.32
10842,ensur,0.28,0.48,0.21,0.03,0.50,0.24,0.16,0.53,0.27
10848,environ,0.42,0.42,0.39,0.19,0.56,0.24,0.19,0.76,0.34
10867,entri,0.39,0.46,0.36,0.12,0.14,0.40,0.21,0.53,0.25
10869,enter,0.57,0.72,0.81,0.10,0.28,0.71,0.47,0.53,0.54
10876,entir,0.34,0.31,0.21,0.09,0.39,0.17,0.33,0.12,0.32
10877,entireti,0.10,0.08,0.09,0.05,0.08,0.07,0.05,0.06,0.07
10878,entiti,0.52,0.60,0.77,0.91,0.69,0.57,0.60,0.74,0.63
10889,encod,0.21,0.31,0.23,0.10,0.36,0.07,0.02,0.06,0.17
10890,express,0.17,0.35,0.13,0.03,0.36,0.24,0.07,0.53,0.26
10907,extend,0.20,0.11,0.12,0.12,0.06,0.07,0.09,0.29,0.20
10910,extent,0.10,0.05,0.04,0.03,0.11,0.07,0.23,0.09,0.08
10921,expenditur,0.03,0.01,0.05,0.60,0.06,0.05,0.12,0.03,0.02
10922,experi,0.22,0.08,0.17,0.67,0.11,0.24,0.09,0.15,0.12
10925,explicitli,0.09,0.07,0.06,0.07,0.25,0.14,0.09,0.03,0.11
10931,explain,0.15,0.10,0.08,0.07,0.14,0.21,0.30,0.09,0.14
10932,explan,0.07,0.07,0.04,0.05,0.06,0.05,0.26,0.03,0.06
10936,extern,0.36,0.25,0.27,0.81,0.28,0.14,0.23,0.76,0.24
10944,facil,0.24,0.16,0.04,0.03,0.03,0.21,0.05,0.06,0.16
10946,facilit,0.52,0.49,0.68,0.19,0.56,0.79,0.42,0.65,0.49
10948,fact,0.19,0.30,0.14,0.07,0.14,0.21,0.30,0.06,0.18
10949,face,0.19,0.19,0.06,0.62,0.06,0.26,0.26,0.03,0.13
10951,factor,0.27,0.19,0.22,0.34,0.11,0.29,0.53,0.88,0.34
10956,fail,0.17,0.31,0.14,0.12,0.08,0.17,0.21,0.59,0.17
10964,extract,0.15,0.10,0.13,0.02,0.14,0.05,0.02,0.06,0.05
10983,expect,0.19,0.10,0.09,0.07,0.17,0.26,0.67,0.03,0.17
10990,everi,0.30,0.34,0.08,0.03,0.25,0.19,0.21,0.09,0.18
11004,evolv,0.07,0.02,0.08,0.02,0.11,0.05,0.02,0.03,0.02
11008,event,0.38,0.27,0.27,0.24,0.19,0.24,0.42,0.35,0.33
11024,evalu,0.16,0.16,0.05,0.57,0.03,0.07,0.44,0.26,0.22
11030,even,0.54,0.61,0.35,0.72,0.67,0.60,0.56,0.12,0.50
11035,exemplari,0.39,0.48,0.48,0.76,0.22,0.21,0.44,0.68,0.43
11044,exist,0.63,0.67,0.48,0.90,0.67,0.83,0.65,0.74,0.62
11054,expand,0.10,0.11,0.01,0.02,0.08,0.29,0.12,0.12,0.05
11058,execut,0.66,0.69,0.75,0.66,0.97,0.79,0.72,0.41,0.67
